"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","Call.type","PowerDb","PowerDbWithNoise","NoisevalueDb"
58,"Spectrogram 1",1,1939.920441759,1942.928157259,358.5,900.3,10.71,"2_Halbend","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Halbend",42.4520533851734,59.4296447769495,58.1032503053095
59,"Spectrogram 1",1,1945.64308468,1946.48440368,96.711,414.3,11.93,"2_PwurP_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurP_P1",48.1536597837481,62.6977437631128,60.8951592079313
60,"Spectrogram 1",1,1947.585343418,1948.363563518,90.704,501.9,13.76,"2_PwurP_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurP_P2",49.959271006806,63.7656351173514,61.7836318313001
61,"Spectrogram 1",1,1949.49326508,1950.14528738,86.757,478,15.81,"2_PwurP_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurP_P3",48.9374895610752,63.8023180223893,62.0720572173224
62,"Spectrogram 1",1,1951.198585914,1951.997839014,94.566,390.4,11.86,"2_PwurP_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurP_P4",52.733101197339,63.9949679440664,61.2200617781917
63,"Spectrogram 1",1,1953.220035257,1954.061354357,86.671,345.224,14.7,"2_PwurP_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurP_P5",44.8302511273416,62.0619232882141,60.7767428061605
64,"Spectrogram 1",1,1957.086389459,1957.969774359,23.9,255,12.82,"2_PwurS_S1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurS_S1",39.0569760416208,65.5378245936379,65.1158577332672
65,"Spectrogram 1",1,1959.631379459,1960.409599559,47.8,247,11.21,"2_PwurS_S2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurS_S2",49.8046393196675,64.2570188216549,62.4331459019347
66,"Spectrogram 1",1,1961.966039759,1962.954589559,39.8,239,11.52,"2_PwurS_S3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurS_S3",42.4518993767797,63.8892728681697,63.120083141119
67,"Spectrogram 1",1,1964.511029759,1965.499579659,31.9,247,11.56,"2_PwurS_S4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurS_S4",50.0530408709862,65.497341216657,63.8897753765316
68,"Spectrogram 1",1,1966.968673559,1967.873091559,31.9,207.2,11.78,"2_PwurS_S5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_PwurS_S5",45.7401265336919,64.7643228572459,63.7336608075504
77,"Spectrogram 1",1,2009.986218779,2014.474901599,580,1080.8,12.52,"3_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Hfunstart",59.1911496173895,64.1895644570072,57.0102381028694
78,"Spectrogram 1",1,2025.382931729,2026.918338949,143.4,470.1,10.99,"3_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_start",40.0303656972478,60.1780490897173,59.2791546107442
79,"Spectrogram 1",1,2027.943701289,2028.974317089,159.3,709.1,12.31,"3_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P1",52.2258353466813,63.2758992377385,60.4199128286533
80,"Spectrogram 1",1,2014.519519279,2021.316279029,580,1526.5,11.49,"3_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Hfuntrill",52.3106253561594,61.6567567461539,58.0350957276566
81,"Spectrogram 1",1,2030.218806709,2030.992179809,326.7,756.9,11.33,"3_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P2",59.5608329361174,64.5660215376083,57.3953945707483
82,"Spectrogram 1",1,2032.345582729,2033.327171669,294.8,669.3,11.94,"3_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P3",51.8425933318937,61.1724437887478,57.5423479911445
83,"Spectrogram 1",1,2034.873917869,2035.691908649,318.7,693.2,11.72,"3_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P4",49.967314722105,60.3703899081211,57.2488885961348
84,"Spectrogram 1",1,2037.389821669,2038.192939889,278.9,605.5,11.27,"3_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P5",48.2555726734915,60.0439636747964,57.4592573134817
85,"Spectrogram 1",1,2040.185862879,2041.048471339,294.8,701.1,12.49,"3_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P6",58.0457019879596,64.0268168029527,57.966551476472
86,"Spectrogram 1",1,2042.989773909,2044.105215879,255,669.3,11.2,"3_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P7",49.2528212942526,60.9092758621841,58.2783699695281
87,"Spectrogram 1",1,2046.053521189,2047.377178999,159.3,390.4,11.41,"3_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P8",44.4694865726827,59.9379192133985,58.3352515705526
88,"Spectrogram 1",1,2049.605782179,2050.944312549,127.5,398.4,10.46,"3_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P9",37.8438418714516,60.1748587553985,59.4839483497016
